question,refined_correct_options,refined_incorrect_options
"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","['undermine', 'invalidate', 'negate']","['enforce rules', 'promote discipline', 'facilitate growth', 'accelerate change']"
Sammy wanted to go to where the people were.  Where might he go?,"['community gatherings', 'local events', 'social venues']","['sports arenas', 'quiet retreats', 'train platforms', 'empty parks']"
To locate a choker not located in a jewelry box or boutique where would you go?,"['artisan market', 'vintage fair', 'online marketplace']","['fashion outlet', 'home decor store', 'personal accessories']"
Google Maps and other highway and street GPS services have replaced what?,"['printed road maps', 'manual navigation techniques', 'route planning software']","['local traffic reports', 'historical navigation logs', 'urban planning manuals', 'tourist information centers']"
"The fox walked from the city into the forest, what was it looking for?","['natural habitat', 'suitable prey', 'shelter from disturbances']","['urban garden', 'city park', 'farm fields', 'neighborhood pets']"
What home entertainment equipment requires cable?,"['television', 'cable box', 'home theater system']","['wireless speaker', 'digital frame', 'gaming console', 'portable projector']"
"The only baggage the woman checked was a drawstring bag, where was she heading with it?","['airport travel', 'business engagement', 'family gathering']","['local gathering', 'emergency supplies', 'short trip']"
"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?","['cold storage', 'food cabinet', 'sealed container']","['living room', 'utility drawer', 'dining area', 'kitchen counter']"
What do people use to absorb extra ink from a fountain pen?,"['absorbent paper', 'ink-drying cloth', 'blotting material']","['notebook cover', 'ink storage', 'writing surface', 'fabric swatch']"
Where is a business restaurant likely to be located?,"['corporate office clusters', 'business park entrances', 'near conference venues']","['near tourist sites', 'inside shopping malls', 'at university campuses', 'in suburban neighborhoods']"
Where do you put your grapes just before checking out?,"['checkout conveyor', 'temporary cart space', 'produce section holder']","['grocery shelf', 'refrigerator section', 'personal bag', 'home countertop']"
"Before getting a divorce, what did the wife feel who was doing all the work?","['bitterness', 'frustration', 'disappointment']","['sadness over loss', 'confusion about feelings', 'hope for change', 'relief from burden']"
Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,"['community garden', 'public park', 'outdoor lounge']","['roadside rest area', 'indoor gym', 'shopping plaza', 'city square']"
James was cooling off too quickly. He would die if he didn't find some way to stop what?,"['rapid temperature decline', 'extreme body cooling', 'excessive thermal loss']","['temporary cooling aid', 'mild temperature fluctuation', 'short-term heat relief', 'controlled body temperature']"
"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?","['cooking nook', 'baking zone', 'spice corner']","['dining area', 'utility space', 'entertainment room', 'home office']"
"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?","['Cajun cultural region', 'swamp with Cajun heritage', 'wetlands rich in Cajun history']","['southern lowlands', 'urban marsh area', 'tropical wetland zone', 'cultural bayou site']"
What is it called when you slowly cook using a grill?,"['indirect grilling', 'smoking technique', 'low-temperature method']","['fast cooking', 'grilling party', 'high-heat method', 'restaurant grilling']"
What type of person typically contracts illness?,"['elderly individual', 'newborn child', 'immunocompromised person']","['hospital visitor', 'healthy athlete', 'isolated individual', 'young adult']"
Where would you expect to find a pizzeria while shopping?,"['shopping plaza', 'near entertainment venues', 'within commercial districts']","['outdoor festivals', ""local farmer's market"", 'near public transportation', 'inside a community center']"
"When eating everything on the tasting menu, what does one tend to feel?","['sensing flavor overload', 'experiencing culinary delight', 'noticing heightened taste sensitivity']","['temporary fullness', 'short-term satisfaction', 'mild discomfort', 'lingering cravings']"
What does playing soccer for a long time lead to?,"['muscle fatigue', 'enhanced coordination', 'teamwork improvement']","['temporary excitement', 'skill perception', 'social recognition', 'increased competitiveness']"
