question,expanded_correct_options,expanded_incorrect_options
"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?","['ignore', 'overlook', 'diminish', 'undermine', 'invalidate', 'negate']","['enforce', 'authoritarian', 'yell at', 'avoid', 'accelerate', 'facilitate', 'reinforce', 'support', 'enhance', 'promote']"
Sammy wanted to go to where the people were.  Where might he go?,"['populated areas', 'gathering events', 'community festivals', 'busy marketplaces', 'concert venues', 'public transportation hubs']","['race track', 'the desert', 'apartment', 'roadblock', 'isolated cabins', 'abandoned warehouses', 'empty beaches', 'remote hiking trails', 'quiet libraries', 'secluded gardens']"
To locate a choker not located in a jewelry box or boutique where would you go?,"['jewelry store', 'thrift shop', 'vintage market', 'craft fair', 'online auction site', 'artisan craft studio']","['neck', 'jewelry box', 'jewelry box', 'boutique', 'clothing store', 'gift shop', 'accessories kiosk', 'department store', 'flea market', 'fashion showroom']"
Google Maps and other highway and street GPS services have replaced what?,"['atlas', 'manual navigation techniques', 'printed road maps', 'travel guidebooks', 'route planning software', 'physical navigation aids']","['united states', 'mexico', 'countryside', 'oceans', 'historical navigation logs', 'tourist information centers', 'topographic maps', 'local traffic reports', 'land survey documents', 'urban planning manuals']"
"The fox walked from the city into the forest, what was it looking for?","['natural habitat', 'suitable prey', 'food sources through foraging', 'shelter from urban disturbances', 'territorial marking opportunities', 'a safe nesting area']","['pretty flowers.', 'hen house', 'storybook', 'dense forest', 'urban park for socializing', 'abandoned house for shelter', 'riverbank for swimming', 'crops for raiding', 'a zoo for entertainment', 'a garden for relaxation']"
What home entertainment equipment requires cable?,"['television', 'streaming device', 'cable box', 'home theater system', 'digital video recorder', 'satellite receiver']","['radio shack', 'substation', 'cabinet', 'desk', 'wireless speaker system', 'Bluetooth headphones', 'smartphone gaming device', 'projector without cables', 'digital photo frame', 'computer monitor without connection']"
"The only baggage the woman checked was a drawstring bag, where was she heading with it?","['airport', 'traveling to a conference', 'heading to a vacation resort', 'going to a business meeting', 'departing for an international trip', 'en route to a family reunion']","['garbage can', 'military', 'jewelry store', 'safe', 'attending a local event', 'delivering supplies to a charity', 'visiting a friend in a nearby city', 'going to a remote campsite', 'transporting goods for a market', 'participating in a community service project']"
"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?","['refrigerator', 'cooler', 'pantry shelf', 'storage container', 'kitchen cabinet', 'sealed jar']","['carpet', 'breadbox', 'fridge', 'coach', 'dining table', 'oven', 'countertop', 'dishwasher', 'freezer', 'microwave']"
What do people use to absorb extra ink from a fountain pen?,"['blotter', 'paper towel', 'absorbent cloth', 'sponge-like material', 'tissue paper', 'felt pad']","['shirt pocket', ""calligrapher's hand"", 'inkwell', 'desk drawer', 'canvas surface', 'hardwood table', 'plastic wrap', 'pencil eraser', 'notebook page', 'ballpoint pen']"
Where is a business restaurant likely to be located?,"['business sector', 'new corporate development zone', 'adjacent to conference centers', 'within urban mixed-use complexes', 'near major transportation hubs', 'in proximity to corporate headquarters']","['town', 'at hotel', 'mall', 'yellow pages', 'in residential neighborhoods', 'within entertainment districts', 'on rural highways', 'inside college campuses', 'near tourist attractions', 'in suburban shopping centers']"
Where do you put your grapes just before checking out?,"['grocery cart', 'shopping basket', 'handheld bag for quick access', 'checkout conveyor belt for scanning', 'temporary holder on the checkout counter', 'designated area for produce in cart']","['mouth', 'super market', 'fruit basket', 'fruit market', 'backpack for later consumption', 'shelf near the exit', 'countertop at home', 'refrigerator for freshness', 'pocket for convenience', 'table for display']"
"Before getting a divorce, what did the wife feel who was doing all the work?","['bitterness', 'resentment from unreciprocated efforts', 'frustration over unmet expectations', 'exhaustion from constant responsibility', 'disappointment in lack of partnership', 'isolation from emotional disconnect']","['harder', 'anguish', 'tears', 'sadness', 'confusion about relationship dynamics', 'satisfaction from personal growth', 'hope for future reconciliation', 'relief from decision-making', 'apathy towards relationship outcomes', 'curiosity about new beginnings']"
Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,"['garden', 'park', 'community center', 'outdoor patio', 'nature reserve', 'backyard oasis']","['state park', 'bus depot', 'gym', 'rest area', 'urban rooftop', 'shopping mall', 'indoor sports facility', 'highway rest stop', 'city plaza', 'school cafeteria']"
James was cooling off too quickly. He would die if he didn't find some way to stop what?,"['loss of heat', 'excessive evaporation', 'rapid moisture loss', 'uncontrolled body temperature drop', 'extreme thermal dissipation', 'overactive perspiration response']","['revenge', 'expansion', 'relaxation', 'calm down', 'temporary discomfort relief', 'increased metabolic rate', 'enhanced oxygen intake', 'dehydration prevention', 'cooling through exercise', 'temporary heat retention']"
"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?","['kitchen', 'pantry', 'baking station', 'cooking nook', 'herb garden', 'spice rack']","['yard', 'basement', 'living room', 'garden', 'laundry room', 'dining hall', 'study', 'garage', 'attic', 'foyer']"
"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?","['louisiana', 'swamp where Cajun dialect is prevalent', 'wetland with rich Cajun culture', 'area known for Cajun cuisine and language', 'region with Cajun folklore and traditions', 'marshland featuring Cajun music and lifestyle']","['low lands', 'new york', 'forest', 'everglades', 'bayou with no Cajun influence', 'urban area lacking marshy terrain', 'mountainous region with dry climate', 'desert landscape far from wetlands', 'coastal city with no local dialect', 'tundra with no vegetation']"
What is it called when you slowly cook using a grill?,"['barbeque', 'smoking meat', 'indirect grilling method', 'low-temperature grilling', 'slow-cooking roast', 'wood-chip infusion technique']","['backyard', 'restaurant', 'crockpot', ""neighbor's house"", 'flash grilling approach', 'steam cooking process', 'microwave grilling technique', 'high-heat searing method', 'oven broiling technique', 'frying pan method']"
What type of person typically contracts illness?,"['elderly person', 'newborn infant', 'individual with compromised immune system', 'person with chronic health conditions', 'individual living in crowded conditions', 'person undergoing high-stress situations']","['hospital', 'head', 'sick person', ""doctor's office"", 'athlete training rigorously', 'healthy individual with no symptoms', 'young adult with balanced diet', 'person in isolated environment', 'individual actively managing stress', 'person regularly exercising']"
Where would you expect to find a pizzeria while shopping?,"['food court', 'shopping mall', 'near a grocery store', 'within a market district', 'adjacent to a cinema complex', 'across from a popular retail chain']","['chicago', 'street', 'little italy', 'capital cities', 'inside a hardware store', 'next to a gas station', 'in a residential neighborhood', 'within a museum', 'across from a library', 'inside a school cafeteria']"
"When eating everything on the tasting menu, what does one tend to feel?","['getting full', 'feeling satiated', 'experiencing culinary delight', 'sensing flavor overload', 'noticing heightened taste sensitivity', 'gaining appreciation for diverse textures']","['full stomach', 'gaining weight', 'sick', 'satisfaction', 'feeling energized from variety', 'developing a craving for more', 'experiencing digestive discomfort', 'feeling light-headed from indulgence', 'sensing reduced appetite for later meals', 'noticing an increase in metabolism']"
What does playing soccer for a long time lead to?,"['getting tired', 'fatigue', 'muscle soreness from exertion', 'increased heart rate from sustained activity', 'improved coordination through repetitive practice', 'enhanced teamwork skills via strategic plays']","['excitement', 'anger', 'hurting', 'increased focus from prolonged engagement', 'immediate skill mastery from practice', 'decreased stamina from overexertion', 'heightened competitiveness from long play', 'improved social status from playing', 'instantaneous energy boost from exercise', 'increased likelihood of injury from fatigue']"
Which entrance would you use if you do not want to use the back entrance?,"['main', 'side', 'use the designated pathway from the front', 'approach via the service entrance route', 'access through the primary lobby entry', ""enter through the visitor's check-in area""]","['anterior', 'current', 'take the emergency exit instead', 'utilize the maintenance door', 'enter through the loading dock', 'approach from the restricted access zone', 'use the staff-only corridor', 'enter through the disabled access ramp', 'take the side gate for deliveries', 'approach via the rooftop access']"
You can share files with someone if you have a connection to a what?,"['computer network', 'peer-to-peer system', 'cloud storage service', 'local area network', 'file transfer protocol', 'secure data exchange method']","['freeway', 'radio', 'wires', 'electrical circuit', 'television broadcast', 'telephone line', 'public transportation system', 'wireless charging pad', 'satellite communication', 'home appliance network']"
"The accelerator was controlled via a hand throttle, and the foot pedals controlled the steering in the small what?","['airplane', 'helicopter', 'glider', 'drone', 'ultralight aircraft', 'hovercraft']","['car', 'fuel system', 'accelerate', 'boat', 'motorcycle', 'submarine', 'bicycle', 'tractor', 'train', 'sailboat']"
"Sean was lying about the body, but he was very scared.  He constantly worried about what?","['being found out', 'the consequences of his actions', 'the potential for incriminating evidence', 'the reactions of those who might discover the truth', 'the possibility of being implicated in a crime', 'the fear of losing trust from his friends']","['the reward money', 'hurt feelings', 'problems', 'trouble', 'the likelihood of being praised', 'the chance of being celebrated', 'the risk of having to explain himself', 'the opportunity to escape unnoticed', 'the possibility of making new friends', 'the idea of receiving an alibi']"
"The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?","['take money', 'collect payments', 'distribute product', 'retrieve debts', 'confirm inventory', 'secure transactions']","['park', 'make time for', 'receive instructions', 'leave work', 'schedule meetings', 'review plans', 'gather feedback', 'issue warnings', 'update records', 'discuss strategies']"
"Though he could've kept going his body appreciated the rest, it had been constantly what during the day?","['moving', 'active', 'engaging in physical tasks', 'performing repetitive motions', 'participating in dynamic activities', 'constantly exerting energy']","['walk', 'lay down', 'working', 'exercise', 'sitting idly for hours', 'participating in sedentary hobbies', 'resting intermittently', 'being stationary for long periods', 'engaging in low-energy tasks', 'taking frequent breaks']"
Too many people want exotic snakes.  The demand is driving what to carry them?,"['pet shops', 'online marketplaces', 'specialty reptile expos', 'local breeders with permits', 'importation businesses for exotic animals', 'reptile rescue organizations for adoption']","['ditch', 'shop', 'north america', 'outdoors', 'general merchandise stores for pets', 'wildlife sanctuaries for conservation', 'fitness centers for exotic pet training', 'seasonal markets for local produce', 'petting zoos for educational purposes', 'transportation services for wildlife']"
"Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?","['law suit', 'filed a restraining order', 'initiated a civil claim for damages', 'sought punitive damages in court', 'demanded financial compensation for loss', 'organized a public awareness campaign']","['knife wounds', 'buy a gun', 'bleeding', 'jail time', 'requested a public apology', 'held a vigil in his honor', 'sued for emotional distress', 'pressed charges for self-defense', 'demanded psychological evaluation', 'sought a settlement before trial']"
To prevent any glare during the big football game he made sure to clean the dust of his what?,"['television', 'projector', 'computer monitor', 'window blinds', 'outdoor screen', 'camera lens']","['attic', 'corner', 'they cannot clean corner and library during football match they cannot need that', 'ground', 'old newspaper', 'furniture polish', 'rug', 'bookshelf', 'ceiling fan', 'decorative vase']"
"I have something in my head I want to share, what ways can I do that?","['speak information', 'new correct option 1: illustrate concepts through visual aids', 'new correct option 2: engage in dialogue to clarify thoughts', 'new correct option 3: create a multimedia presentation to convey ideas', 'new correct option 4: conduct a workshop to facilitate group discussion', 'new correct option 5: perform a skit to dramatize key points']","['write an essay', 'organize thoughts', 'summarize main points', 'have information', 'plausible wrong option: compile a report without audience engagement', 'contextual wrong option: brainstorm ideas in isolation', 'mechanism failure option: use social media for personal reflection', 'obvious wrong option: doodle on paper without context', 'plausible wrong option: record a podcast without a clear message', ""contextual wrong option: send an email without addressing the recipient's needs""]"
"He wanted a house that was gated off from other places, where should he start looking?","['subdivision', 'gated community', 'private estate listings', 'real estate with security features', 'properties with restricted access', 'housing developments with guardhouses']","['neighborhood', 'city', 'suburbs', 'street', 'condominium complex with open access', 'townhouse in a busy area', 'open-access residential area', 'public housing near main roads', 'single-family home in a non-gated area', 'rural property without security measures']"
Where in Southern Europe would you find many canals?,"['venice', 'canal systems shaped by tidal influences', 'urban waterways designed for trade efficiency', 'historical port cities with navigable channels', 'water routes developed for agricultural irrigation', 'cities utilizing waterways for transportation networks']","['michigan', 'new york', 'amsterdam', 'bridge', 'coastal towns with no river access', 'mountain resorts lacking water infrastructure', 'desert regions with limited water supply', 'inland cities with no historical waterways', 'fishing villages without canal systems', 'historically significant roads without water routes']"
What would a camper need to do before he or she can start cooking food?,"['light fire', 'gather firewood', 'prepare cooking utensils', 'find a safe cooking area', 'set up a cooking surface', 'check weather conditions']","['make breakfast', 'go hiking', 'pack a bag', 'grab a match', 'fill a pot with water', 'set up a tent', 'light a candle', 'bring a cooler', 'find a nearby restaurant', 'start a game of cards']"
